City,Date_Updated,Country,Latitude,Longitude,Temperature_Max,Humidity,Cloudiness,Wind_Speed
cockburn town,2020-05-27,TC,21.46,-71.14,86,70,40,13.87
kalabo,2020-05-27,ZM,-14.97,22.68,73.67,33,76,2.04
batman,2020-05-27,TR,37.89,41.13,84.2,35,20,3.36
muroto,2020-05-27,JP,33.28,134.15,69.17,81,100,6.6
marrakesh,2020-05-27,MA,31.63,-8.01,100.4,16,40,12.75
jambi,2020-05-27,ID,-1.6,103.62,76.89,95,100,1.07
la libertad,2020-05-27,EC,-2.23,-80.9,73.4,83,90,5.82
lorengau,2020-05-27,PG,-2.02,147.27,82.4,70,1,3.27
saint george,2020-05-27,US,37.1,-113.58,79,23,1,1.05
scottsbluff,2020-05-27,US,41.87,-103.67,73,45,40,5.82
turan,2020-05-27,VN,16.07,108.22,86,74,75,9.17
lixourion,2020-05-27,GR,38.2,20.43,68,52,40,16.11
fortuna,2020-05-27,US,40.6,-124.16,55,100,90,3.36
ayagoz,2020-05-27,KZ,47.97,80.44,52.72,61,0,22.48
kerema,2020-05-27,PG,-7.96,145.78,78.87,89,98,9.26
touros,2020-05-27,BR,-5.2,-35.46,86,70,40,10.29
harlingen,2020-05-27,US,26.19,-97.7,86,69,1,8.05
gidole,2020-05-27,ET,5.65,37.37,61.32,100,57,3.06
severo-yeniseyskiy,2020-05-27,RU,60.37,93.04,40.48,71,91,7.14
husavik,2020-05-27,IS,66.04,-17.34,51.8,50,20,34.45
yumen,2020-05-27,CN,40.28,97.2,66.99,24,0,15.66
port hawkesbury,2020-05-27,CA,45.62,-61.35,66.2,82,90,3.36
tecoanapa,2020-05-27,MX,16.52,-98.75,82.89,58,100,6.06
college,2020-05-27,US,64.86,-147.8,46.99,75,75,3.51
zhenjiang,2020-05-27,CN,32.21,119.43,77,68,50,7.54
dalbandin,2020-05-27,PK,28.89,64.41,91.74,11,0,14.92
meulaboh,2020-05-27,ID,4.14,96.13,81.07,83,100,4.07
rottenmann,2020-05-27,AT,47.52,14.35,69.01,36,0,9.17
hobyo,2020-05-27,SO,5.35,48.53,83.93,76,2,26.78
coquimbo,2020-05-27,CL,-29.95,-71.34,59,72,90,2.24
broken hill,2020-05-27,AU,-31.95,141.43,48.2,66,19,3.36
agua buena,2020-05-27,PA,7.82,-80.4,84.2,84,75,3.36
orlik,2020-05-27,RU,52.52,99.83,38.19,73,100,5.95
payakumbuh,2020-05-27,ID,-0.22,100.63,72.73,88,100,1.52
qinhuangdao,2020-05-27,CN,39.93,119.59,57.49,83,0,5.55
muisne,2020-05-27,EC,0.6,-80.03,82.4,78,75,8.05
hasaki,2020-05-27,JP,35.73,140.83,64.4,93,75,8.05
mandali,2020-05-27,IQ,33.75,45.55,94.21,10,0,8.01
constitucion,2020-05-27,CL,-35.33,-72.42,60.21,73,8,3.78
fernley,2020-05-27,US,39.61,-119.25,77,28,56,1.01
washougal,2020-05-27,US,45.58,-122.35,59,76,1,1.01
ondarroa,2020-05-27,ES,43.32,-2.42,73.99,66,0,3
chibuto,2020-05-27,MZ,-24.69,33.53,62.1,75,30,6.98
san quintin,2020-05-27,MX,30.48,-115.95,71.1,63,0,6.46
mengcheng,2020-05-27,CN,33.26,116.57,74.52,37,93,7.11
isangel,2020-05-27,VU,-19.55,169.27,73.58,86,14,8.59
vestmannaeyjar,2020-05-27,IS,63.44,-20.27,46.4,87,75,18.34
nelson bay,2020-05-27,AU,-32.72,152.15,55,100,40,4.7
york,2020-05-27,US,40.13,-77,75.2,64,75,6.93
zelenogorskiy,2020-05-27,RU,55.03,87,46.4,70,12,8.95
paamiut,2020-05-27,GL,61.99,-49.67,35.89,88,100,3.71
namibe,2020-05-27,AO,-15.2,12.15,78.8,74,8,11.41
chilca,2020-05-27,PE,-12.52,-76.74,68,77,90,5.82
witu,2020-05-27,KE,-2.39,40.44,78.98,84,6,12.17
pauini,2020-05-27,BR,-7.71,-66.98,87.51,50,86,3.76
aktash,2020-05-27,RU,50.3,87.73,28.76,96,93,6.98
sagae,2020-05-27,JP,38.37,140.27,60.01,64,51,3.31
grebenskaya,2020-05-27,RU,43.53,46.37,71.6,53,97,13.42
wellington,2020-05-27,NZ,-41.29,174.78,48.2,87,21,2.24
altay,2020-05-27,CN,47.87,88.12,55.94,52,23,7.38
mon,2020-05-27,IN,26.75,95.1,64.53,93,100,2.89
lashio,2020-05-27,MM,22.93,97.75,66.31,98,75,4.7
udachnyy,2020-05-27,RU,66.42,112.4,28.4,92,90,15.66
santa cruz,2020-05-27,BO,-17.8,-63.17,80.6,39,0,8.05
syracuse,2020-05-27,IT,37.09,15.28,73.4,53,40,11.41
pombia,2020-05-27,IT,45.65,8.63,78.01,31,0,6.93
mbaiki,2020-05-27,CF,3.87,17.99,86.92,56,89,3.91
ahuimanu,2020-05-27,US,21.44,-157.84,78.8,74,90,3.36
kitimat,2020-05-27,CA,54.05,-128.65,42.8,81,40,10.29
jinka,2020-05-27,ET,5.65,36.65,67.23,91,86,1.25
yurkivka,2020-05-27,UA,49.01,31.1,60.93,79,72,5.79
machali,2020-05-27,CL,-34.18,-70.67,50,93,90,4
podosinovets,2020-05-27,RU,60.28,47.07,49.96,94,100,4.32
natal,2020-05-27,BR,-5.79,-35.21,87.8,70,40,10.29
larimna,2020-05-27,GR,38.57,23.28,64,68,41,5.19
kuntaur,2020-05-27,GM,13.67,-14.88,109.09,11,0,1.95
skjervoy,2020-05-27,NO,70.03,20.97,53.6,62,78,5.82
la palma,2020-05-27,US,33.85,-118.05,64.4,77,90,3.36
opuwo,2020-05-27,NA,-18.06,13.84,78.26,19,14,5.64
padang,2020-05-27,ID,-0.95,100.35,80.64,71,100,3.2
peabiru,2020-05-27,BR,-23.91,-52.34,67.96,42,0,3.78
santa isabel do rio negro,2020-05-27,BR,-0.41,-65.02,83.07,84,31,1.68
kapoeta,2020-05-27,SS,4.77,33.59,87.12,45,79,10.49
zhigansk,2020-05-27,RU,66.77,123.37,33.91,89,88,24.16
fundong,2020-05-27,CM,6.25,10.27,71.19,93,85,2.46
menongue,2020-05-27,AO,-14.66,17.69,73.89,35,65,2.46
kashary,2020-05-27,RU,49.04,41.01,67.01,66,28,4.9
san patricio,2020-05-27,MX,19.22,-104.7,80.6,83,5,5.82
kaiyuan,2020-05-27,CN,23.7,103.3,64.99,78,79,2.77
dillon,2020-05-27,US,34.42,-79.37,70,100,90,13.87
coihaique,2020-05-27,CL,-45.58,-72.07,46.4,75,75,3.36
batagay-alyta,2020-05-27,RU,67.8,130.41,32.61,93,100,7.47
vila,2020-05-27,PT,42.03,-8.16,82,46,0,6.89
lima,2020-05-27,PE,-12.04,-77.03,68,77,90,5.82
illapel,2020-05-27,CL,-31.63,-71.17,69.85,42,7,6.82
imeni poliny osipenko,2020-05-27,RU,52.42,136.49,47.8,84,100,9.89
prince rupert,2020-05-27,CA,54.32,-130.32,46.4,93,1,5.82
tuy hoa,2020-05-27,VN,13.08,109.3,80.78,83,34,2.89
karratha,2020-05-27,AU,-20.74,116.85,68.83,43,0,8.68
santa helena,2020-05-27,BR,-2.23,-45.3,90.14,52,57,3.44
hastings,2020-05-27,GB,50.86,0.57,71.01,61,24,1.01
mashhad,2020-05-27,IR,36.3,59.61,86,15,0,11.41
banjar,2020-05-27,ID,-8.19,114.97,78.8,100,40,2.24
port keats,2020-05-27,AU,-14.25,129.55,72.28,82,14,3.69
heihe,2020-05-27,CN,50.24,127.49,59,51,3,2.24
vila velha,2020-05-27,BR,-20.33,-40.29,75.2,57,0,9.17
pevek,2020-05-27,RU,69.7,170.31,35.44,84,68,14.36
waynesboro,2020-05-27,US,38.07,-78.89,73,77,75,9.17
leh,2020-05-27,IN,34.17,77.58,52.03,32,49,6.06
ostrovnoy,2020-05-27,RU,68.05,39.51,50.43,72,8,9.35
khandyga,2020-05-27,RU,62.67,135.6,55.49,88,86,10.74
boguchany,2020-05-27,RU,58.38,97.45,44.74,68,84,6.44
lahore,2020-05-27,PK,31.55,74.34,104,23,16,4.7
nizhniy odes,2020-05-27,RU,63.64,54.86,50.77,89,100,5.26
charters towers,2020-05-27,AU,-20.1,146.27,54.66,82,17,3.4
ust-koksa,2020-05-27,RU,50.27,85.61,41.23,68,15,5.61
marzuq,2020-05-27,YE,14.4,46.47,86.45,32,34,5.14
pemangkat,2020-05-27,ID,1.17,108.97,78.17,86,100,4.36
ginir,2020-05-27,ET,7.13,40.7,61.72,93,24,4.7
kamaishi,2020-05-27,JP,39.27,141.88,53.74,83,11,9.48
miles city,2020-05-27,US,46.41,-105.84,57.2,67,1,12.75
minna,2020-05-27,NG,9.61,6.56,87.8,66,40,4.7
castro daire,2020-05-27,PT,40.9,-7.93,91,4,0,1.99
aksay,2020-05-27,RU,47.26,39.87,73.99,53,20,17.9
rantauprapat,2020-05-27,ID,2.1,99.83,76.12,94,96,1.9
sola,2020-05-27,VU,-13.88,167.55,80.33,83,25,18.19
xiamen,2020-05-27,CN,24.48,118.08,71.6,100,75,4.47
mudanjiang,2020-05-27,CN,44.58,129.6,51.15,77,69,2.64
zyryanovsk,2020-05-27,KZ,49.74,84.27,52.5,45,29,14.03
beirut,2020-05-27,LB,33.89,35.49,73.4,69,20,5.82
fasa,2020-05-27,IR,28.94,53.65,91.4,16,20,4.7
lidice,2020-05-27,PA,8.75,-79.9,82.99,88,40,6.93
awjilah,2020-05-27,LY,29.11,21.29,87.76,17,0,10.67
hashtgerd,2020-05-27,IR,35.96,50.69,86,16,40,4.7
san andres,2020-05-27,CO,12.58,-81.7,87.8,74,90,13.87
tabas,2020-05-27,IR,33.6,56.92,98.6,11,0,6.93
tres arroyos,2020-05-27,AR,-38.37,-60.28,62.67,51,0,8.81
sesheke,2020-05-27,ZM,-17.48,24.3,73.4,27,0,3.36
pampierstad,2020-05-27,ZA,-27.78,24.69,43.54,54,74,4.85
boddam,2020-05-27,GB,57.47,-1.78,57.2,54,75,11.41
russellville,2020-05-27,US,35.28,-93.13,72,73,20,3.4
arkhara,2020-05-27,RU,49.42,130.08,52.57,61,0,1.28
